Reservoir_name,Basin,Subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Dudhganga,Krishna Basin,Krishna Upper,CWC,16.31720783,73.97231364,05-10-23,2023,10,646,0.664,0.66367,645.23
Gandhi Sagar,Ganga Basin,Chambal Upper,CWC,24.52716485,75.56271289,01-10-23,2023,10,399.9,6.827,NA,NA
Gandhi Sagar,Ganga Basin,Chambal Upper,CWC,24.52716485,75.56271289,02-10-23,2023,10,399.9,6.827,NA,NA
Gandhi Sagar,Ganga Basin,Chambal Upper,CWC,24.52716485,75.56271289,03-10-23,2023,10,399.9,6.827,NA,NA
Gandhi Sagar,Ganga Basin,Chambal Upper,CWC,24.52716485,75.56271289,04-10-23,2023,10,399.9,6.827,NA,NA
Gandhi Sagar,Ganga Basin,Chambal Upper,CWC,24.52716485,75.56271289,05-10-23,2023,10,399.9,6.827,6.49547,399.71
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,14.25619412,74.70576516,01-10-23,2023,10,55,0.13,0.09461,48.55
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,14.25619412,74.70576516,02-10-23,2023,10,55,0.13,0.10111,49.83
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,14.25619412,74.70576516,03-10-23,2023,10,55,0.13,0.10586,50.74
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,14.25619412,74.70576516,04-10-23,2023,10,55,0.13,0.09657,48.95
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,14.25619412,74.70576516,05-10-23,2023,10,55,0.13,0.09451,48.53
GhatPrabha\Hidkal Reservoir,Krishna Basin,Krishna Upper,CWC,16.13146866,74.59531002,01-10-23,2023,10,662.95,1.391,1.21338,660.553
GhatPrabha\Hidkal Reservoir,Krishna Basin,Krishna Upper,CWC,16.13146866,74.59531002,02-10-23,2023,10,662.95,1.391,1.2383,660.898
GhatPrabha\Hidkal Reservoir,Krishna Basin,Krishna Upper,CWC,16.13146866,74.59531002,03-10-23,2023,10,662.95,1.391,1.25954,661.187
GhatPrabha\Hidkal Reservoir,Krishna Basin,Krishna Upper,CWC,16.13146866,74.59531002,04-10-23,2023,10,662.95,1.391,1.27143,661.349
GhatPrabha\Hidkal Reservoir,Krishna Basin,Krishna Upper,CWC,16.13146866,74.59531002,05-10-23,2023,10,662.95,1.391,1.28078,661.477
Girna Reservoir,Tapi Basin,Tapi Middle,CWC,20.49190037,74.68355397,01-10-23,2023,10,398.07,0.524,0.29858,393.2
Girna Reservoir,Tapi Basin,Tapi Middle,CWC,20.49190037,74.68355397,02-10-23,2023,10,398.07,0.524,0.29858,393.2
Girna Reservoir,Tapi Basin,Tapi Middle,CWC,20.49190037,74.68355397,03-10-23,2023,10,398.07,0.524,0.29858,393.2
Girna Reservoir,Tapi Basin,Tapi Middle,CWC,20.49190037,74.68355397,04-10-23,2023,10,398.07,0.524,0.29858,393.2
Girna Reservoir,Tapi Basin,Tapi Middle,CWC,20.49190037,74.68355397,05-10-23,2023,10,398.07,0.524,0.29858,393.2
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,Sutlaj Upper,CWC,31.38855077,76.53720479,01-10-23,2023,10,512.06,6.229,5.31831,509.91
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,Sutlaj Upper,CWC,31.38855077,76.53720479,02-10-23,2023,10,512.06,6.229,5.30118,509.8
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,Sutlaj Upper,CWC,31.38855077,76.53720479,03-10-23,2023,10,512.06,6.229,5.28072,509.67
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,Sutlaj Upper,CWC,31.38855077,76.53720479,04-10-23,2023,10,512.06,6.229,5.25884,509.53
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,Sutlaj Upper,CWC,31.38855077,76.53720479,05-10-23,2023,10,512.06,6.229,5.22221,509.29
Gumti Reservoir,Barak and Others Basin,Naoch chara and others,CWC,23.47696886,91.84886953,01-10-23,2023,10,93.55,0.3121,NA,NA
Gumti Reservoir,Barak and Others Basin,Naoch chara and others,CWC,23.47696886,91.84886953,02-10-23,2023,10,93.55,0.3121,NA,NA
Gumti Reservoir,Barak and Others Basin,Naoch chara and others,CWC,23.47696886,91.84886953,03-10-23,2023,10,93.55,0.3121,NA,NA
Gumti Reservoir,Barak and Others Basin,Naoch chara and others,CWC,23.47696886,91.84886953,04-10-23,2023,10,93.55,0.3121,NA,NA
Gumti Reservoir,Barak and Others Basin,Naoch chara and others,CWC,23.47696886,91.84886953,05-10-23,2023,10,93.55,0.3121,0.203,91.1
Harangi Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.49243766,75.87487265,01-10-23,2023,10,871.42,0.22,0.17598,870.039
Harangi Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.49243766,75.87487265,02-10-23,2023,10,871.42,0.22,0.18,870.167
Harangi Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.49243766,75.87487265,03-10-23,2023,10,871.42,0.22,0.18269,870.253
Harangi Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.49243766,75.87487265,04-10-23,2023,10,871.42,0.22,0.18402,870.295
Harangi Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.49243766,75.87487265,05-10-23,2023,10,871.42,0.22,0.18479,870.32
Hathmati,Sabarmati Basin,Sabarmati Upper,CWC,23.71012116,73.20770095,01-10-23,2023,10,180.74,0.153,0.07074,178.64
Hathmati,Sabarmati Basin,Sabarmati Upper,CWC,23.71012116,73.20770095,02-10-23,2023,10,180.74,0.153,0.07074,178.64
Hathmati,Sabarmati Basin,Sabarmati Upper,CWC,23.71012116,73.20770095,03-10-23,2023,10,180.74,0.153,0.07074,178.64
Hathmati,Sabarmati Basin,Sabarmati Upper,CWC,23.71012116,73.20770095,04-10-23,2023,10,180.74,0.153,0.07074,178.64
Hathmati,Sabarmati Basin,Sabarmati Upper,CWC,23.71012116,73.20770095,05-10-23,2023,10,180.74,0.153,0.07074,178.64
Hemavathy Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.82820487,76.00971821,01-10-23,2023,10,890.63,0.927,0.40744,883.42
Hemavathy Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.82820487,76.00971821,02-10-23,2023,10,890.63,0.927,0.42596,883.774
Hemavathy Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.82820487,76.00971821,03-10-23,2023,10,890.63,0.927,0.42961,883.844
Hemavathy Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.82820487,76.00971821,04-10-23,2023,10,890.63,0.927,0.43454,883.935
Hemavathy Reservoir,Cauvery Basin,Cauvery Upper,CWC,12.82820487,76.00971821,05-10-23,2023,10,890.63,0.927,0.43701,883.975
Hirakud Reservoir,Mahanadi Basin,Mahanadi Middle,CWC,21.63383268,83.80547031,01-10-23,2023,10,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,Mahanadi Middle,CWC,21.63383268,83.80547031,02-10-23,2023,10,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,Mahanadi Middle,CWC,21.63383268,83.80547031,03-10-23,2023,10,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,Mahanadi Middle,CWC,21.63383268,83.80547031,04-10-23,2023,10,192.02,5.378,4.69702,191.83
Hirakud Reservoir,Mahanadi Basin,Mahanadi Middle,CWC,21.63383268,83.80547031,05-10-23,2023,10,192.02,5.378,4.70442,191.84
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,10.24545527,76.74690313,01-10-23,2023,10,169,1.018,0.55494,151.708
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,10.24545527,76.74690313,02-10-23,2023,10,169,1.018,0.56768,152.26
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,10.24545527,76.74690313,03-10-23,2023,10,169,1.018,0.57718,152.668
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,10.24545527,76.74690313,04-10-23,2023,10,169,1.018,0.58343,152.939
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,10.24545527,76.74690313,05-10-23,2023,10,169,1.018,0.58813,153.141
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,9.78847361,76.97474677,01-10-23,2023,10,732.43,1.46,0.56351,713.653
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,9.78847361,76.97474677,02-10-23,2023,10,732.43,1.46,0.58781,714.256
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,9.78847361,76.97474677,03-10-23,2023,10,732.43,1.46,0.60625,714.713
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,9.78847361,76.97474677,04-10-23,2023,10,732.43,1.46,0.6178,715
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Periyar and others,CWC,9.78847361,76.97474677,05-10-23,2023,10,732.43,1.46,0.62616,715.207
Indira Sagar,Narmada Basin,Narmada Middle,CWC,22.19722862,76.65599861,01-10-23,2023,10,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,Narmada Middle,CWC,22.19722862,76.65599861,02-10-23,2023,10,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,Narmada Middle,CWC,22.19722862,76.65599861,03-10-23,2023,10,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,Narmada Middle,CWC,22.19722862,76.65599861,04-10-23,2023,10,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,Narmada Middle,CWC,22.19722862,76.65599861,05-10-23,2023,10,262.13,9.745,9.258,262.1
Isapur Reservoir,Godavari Basin,Wardha,CWC,19.77413873,77.37657599,01-10-23,2023,10,441,0.965,0.80439,439.26
Isapur Reservoir,Godavari Basin,Wardha,CWC,19.77413873,77.37657599,02-10-23,2023,10,441,0.965,0.80968,439.32
Isapur Reservoir,Godavari Basin,Wardha,CWC,19.77413873,77.37657599,03-10-23,2023,10,441,0.965,0.81056,439.33
Isapur Reservoir,Godavari Basin,Wardha,CWC,19.77413873,77.37657599,04-10-23,2023,10,441,0.965,0.81145,439.34
Isapur Reservoir,Godavari Basin,Wardha,CWC,19.77413873,77.37657599,05-10-23,2023,10,441,0.965,0.81233,439.35
Jayakwadi\Nath Sagar,Godavari Basin,Godavari Upper,CWC,19.52917218,75.24566805,01-10-23,2023,10,463.91,2.171,0.98089,460.333
Jayakwadi\Nath Sagar,Godavari Basin,Godavari Upper,CWC,19.52917218,75.24566805,02-10-23,2023,10,463.91,2.171,1.00898,460.428
Jayakwadi\Nath Sagar,Godavari Basin,Godavari Upper,CWC,19.52917218,75.24566805,03-10-23,2023,10,463.91,2.171,1.26268,460.486
Jayakwadi\Nath Sagar,Godavari Basin,Godavari Upper,CWC,19.52917218,75.24566805,04-10-23,2023,10,463.91,2.171,1.34627,460.513
Jayakwadi\Nath Sagar,Godavari Basin,Godavari Upper,CWC,19.52917218,75.24566805,05-10-23,2023,10,463.91,2.171,1.03741,460.522
Jhakam Reservoir,Mahi Basin,Mahi Upper,CWC,24.16180454,74.62252237,01-10-23,2023,10,359.5,0.132,0.10126,356.35
Jhakam Reservoir,Mahi Basin,Mahi Upper,CWC,24.16180454,74.62252237,02-10-23,2023,10,359.5,0.132,0.10206,356.45
Jhakam Reservoir,Mahi Basin,Mahi Upper,CWC,24.16180454,74.62252237,03-10-23,2023,10,359.5,0.132,0.10246,356.5
Jhakam Reservoir,Mahi Basin,Mahi Upper,CWC,24.16180454,74.62252237,04-10-23,2023,10,359.5,0.132,0.10294,356.55
Jhakam Reservoir,Mahi Basin,Mahi Upper,CWC,24.16180454,74.62252237,05-10-23,2023,10,359.5,0.132,0.10342,356.6
Jirgo Dam,Ganga Basin,Upstream of Gomti confluece to Muzaffarnagar,CWC,25.0267409,82.9311989,01-10-23,2023,10,98.2,0.147,0.00253,90.51
Jirgo Dam,Ganga Basin,Upstream of Gomti confluece to Muzaffarnagar,CWC,25.0267409,82.9311989,02-10-23,2023,10,98.2,0.147,0.00253,90.51
Jirgo Dam,Ganga Basin,Upstream of Gomti confluece to Muzaffarnagar,CWC,25.0267409,82.9311989,03-10-23,2023,10,98.2,0.147,0.0026,90.6
